File,Ground_Truth,Raw_STT,Corrected_STT,Trigger_Keyword,Matched_Menu,교정성공(키워드보존),RAG성공(카테고리일치)
EX20QB228_EX0186_20210805.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '간식을 자주 먹나요? 어떤 간식을 좋아하나요? 그 간식을 좋아하는 이유는 무엇인가요?', 'AnswerLabelText': '네 저는 간식을 많이 먹어요 나는 빼빼로와 오리온 초코파이를 좋아하는데 맛이 달라서 맛있어요', 'SentenceSpeechLV': '중'}","네, 저는 단식을 많이 먹어요. 나는 배패로와 오리온 조코파이들 좋아하는데, 맛이 달라서 맛있어요.","네, 저는 단식을 많이 먹어요. 나는 배패로와 오리온 조코파이들 좋아하는데, 맛이 달라서 맛있어요.",초코,['ICE 초코'],O,O
JP12RC045_JP0042_20210801.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.","우리는 차강 아메리카노, 세장과 수박숨우디, 한장 그리고 딸기생크림 케이크를 주문했습니다.",아메리카노,아메리카노,['아메리카노'],O,O
EN22RB036_EN0051_20210915.wav,"급하게 초코소라빵을 바닥에 내려놓았고, 양손으로 입과 코를 모두 가린 뒤에, 계속 기침을 했습니다.",그 바게 초코 소라빵을 바닥에 내려 놓았고 양손으로 입과 코를 모두 가린 뒤에 계속 기침을 했습니다.,초코,초코,['ICE 초코'],O,O
JP30QA299_JP0289_20211115.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '한국에서 카페에 가본 적이 많이 있는데 항상 가족 중에서 누군가랑 같이 갔었어요 저는 아메리카노나 카페라테를 항상 마시고 있었어요', 'SentenceSpeechLV': '중'}",한국에서 카페에 가벼운 적이 많이 있는데 항상 가족 중에서 누군가와 같이 갔었어요 저는 아메리카나와 카페라들을 항상 마시고 있었어요,한국에서 카페에 가벼운 적이 많이 있는데 항상 가족 중에서 누군가와 같이 갔었어요 저는 아메리카노 카페라떼 항상 마시고 있었어요,아메리카노,['아메리카노'],O,O
EN22RB034_EN0051_20210915.wav,"또 늦은 시간인데도 와줘서 고맙다고 하시며, 초코소라빵을 꺼내서 저에게도 먹어 보라고 주셨어요.",또 은은진 시간인데도 와줘서 고맙다고 하시면 초코소란빵을 꺼내서 저에게도 먹어보라고 주셨어요.,초코,초코,['ICE 초코'],O,O
VN12RC046_VN0277_20211109.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.","스무틸은 시킨 친구는 예전에 우유른 마시고 배가 아파, 병원에 간 적기 있어서 그 뒤로 우유가 뜬 라떼는 안 마신대요.","스무틸은 시킨 친구는 예전에 우유른 마시고 배가 아파, 병원에 간 적기 있어서 그 뒤로 우유가 뜬 라떼는 안 마신대요.",라떼,"['카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', 'ICE 카페라떼', 'ICE 바닐라라떼', 'ICE 연유라떼', 'ICE 카페모카', 'ICE 카라멜마끼아또']",O,O
JP13RC062_JP0042_20210801.wav,"어떻게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가, 제가 직접 쿠키와 빵을 만들어 주기로 결심했습니다.",어떻게 하면 친구를 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 끊기와 방금 만들어주기로 결심했습니다.,어떻게 하면 친구를 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 끊기와 방금 만들어주기로 결심했습니다.,쿠키,['ICE 카라멜마끼아또'],X,X
EX12RC045_EX0040_20210807.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리코나 세장과 숲박스모디 한장 그리고 딸기 생크림 개이크를 주문했어요.,ICE 우리는 ICE 아메리코나 세장과 숲박스모디 한장 그리고 딸기 생크림 개이크를 주문했어요.,아메리카노,"['ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼', 'ICE 연유라떼', 'ICE 카페모카', 'ICE 카라멜마끼아또', 'ICE 디카페인 아메리카노', 'ICE 디카페인 카페라떼']",O,O
CN12RC045_CN0087_20210730.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세정과 산달기 스무디 한잔 그리고 날기 생크림 개그를 주문했어요,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
TH12RC045_TH0226_20211111.wav,"우리는 아이스 아메리카노 세 잔과, 사과 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스메리가로 세찬과 사과 스모티 한잔 그리고 나이기생크림 개그를 주문했어요.,ICE 우리는 ICE 세찬과 사과 스모티 그리고 나이기생크림 개그를 주문했어요.,아메리카노,['ICE 유자차'],X,X
VN12RC046_VN0224_20210731.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무디는 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 절대로 안 마신대요.,스무디는 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 절대로 안 마신대요.,라떼,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN10QC271_CN0417_20211012.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '가장 좋아하는 과일은 복숭아인데요 그 과일을 좋아하는 이유는 여름에는 복숭아 많이 먹으면은 사람 몸이도 많이 좋아진다고 했어요', 'SentenceSpeechLV': '상'}",가장 좋아하는 과일은 복숭아인데요. 그 과일을 좋아하는 이유는 여름에는 복숭아 많이 먹으면 사람 몸이 또 많이 좋아진다고 했어요.,가장 좋아하는 과일은 복숭아 그 과일을 좋아하는 이유는 여름에는 복숭아 많이 먹으면 사람 몸이 카라멜마끼아또 많이 좋아진다고 했어요.,복숭아,['카라멜마끼아또'],X,X
TH12RC045_TH0040_20210731.wav,"우리는 아이스 아메리카노 세 잔과, 사과 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스 아메리카노, 세장과 사과 스모티 한장 그리고 딸기 생크림, 개입을 주문했어요.",ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
EX30QA299_EX0366_20210824.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '저는 카페를 너무 좋아합니다 친구들과 같이도 가 보고 동료들도 같이 가 보고 아/ 주로 아/ 아이스 커피를 아메리카노 커피를 마십니다', 'SentenceSpeechLV': '중'}","저는 카페를 너무 좋아합니다. 친구들과 같이 녹아보고, 동료들도 같이 가보고, 주로 아이스크림을 아메리카 안아꼽비를 마십니다.","ICE 저는 카페를 너무 좋아합니다. 친구들과 같이 녹아보고, 동료들도 같이 가보고, 주로 ICE 아메리카노 안아꼽비를 마십니다.",아메리카노,['ICE 아메리카노'],O,O
CN30QA299_CN0475_20211021.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '친구랑 항상 카페에 갔습니다 어/ 보통 아메리카노 아메리카노를 마셨습니다', 'SentenceSpeechLV': '상'}","친구랑 항상 커피에 갔습니다. 보통 아메리카노, 아메리카노을 마셨습니다.",아메리카노,아메리카노,['아메리카노'],O,O
EX12RC045_EX0290_20210727.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리 아이스 아메리카노 세 장과 수박 수무디 한 장 그리고 딸기 생크림 케익을 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
CN12RC045_CN0253_20210727.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스 아메리카노, 세장과 산타기 스무디 한잔 그리고 달기 싱크림 케이크를 주문했어요.",ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
VN20QB228_VN0328_20210910.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '간식을 자주 먹나요? 어떤 간식을 좋아하나요? 그 간식을 좋아하는 이유는 무엇인가요?', 'AnswerLabelText': '간식을 자주 먹는 편이 아닌데 먹게 되면 보통 초코파이를 먹어요 단 거 좋아하니까요', 'SentenceSpeechLV': '상'}",간식을 자주 먹는 편이 아닌데 먹이 되면 보통 초코파이를 먹어요 단거 좋아하니까요,초코,초코,['ICE 초코'],O,O
JP20QB228_JP0208_20211105.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '간식을 자주 먹나요? 어떤 간식을 좋아하나요? 그 간식을 좋아하는 이유는 무엇인가요?', 'AnswerLabelText': '간식은 매일 먹습니다 주로 좋아하는 간식은 감자칩 아니면 초콜릿 들어있는 과자를 좋아합니다 어릴 때부터 이 두 가지는 너무너무 좋아서 지금 먹어도 맛있으니까요', 'SentenceSpeechLV': '중'}",간식은 매일 먹습니다. 주로 좋아하는 간식은 감자칩 아니면 초콜릿 들어있는 과자를 좋아합니다. 어릴 때부터 이 두가지는 너무 너무 좋아서 지금 먹어도 맛있으니까요.,간식은 매일 먹습니다. 주로 좋아하는 간식은 감자칩 아니면 초콜릿 들어있는 과자를 좋아합니다. 어릴 때부터 아이스티 두가지는 너무 좋아서 지금 먹어도 맛있으니까요.,초콜릿,"['핫초코', '녹차라떼', '곡물라떼', 'ICE 초코', 'ICE 녹차라떼', 'ICE 곡물라떼', '캐모마일', '페퍼민트', '레몬차', '유자차']",X,X
EX12RC045_EX0671_20211006.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스크림 아메리카노, 새 잔과 수박 스무 띄한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
EN12RC045_EN1267_20211101.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 딸기 생크림 케이크와 와플을 주문했어요.",우리는 아이스 아메리카노 세장과 수박숨우디 한잔 딸기생 그림게 이크와 와플을 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
EN12RC045_EN0027_20210815.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 딸기 생크림 케이크와 와플을 주문했어요.",우리는 아이스메 레카 노 세 장과 수박스무지 한 잔 딸기 생크림 케이크와 워프를 주문했어요,ICE 우리는 ICE메 레카 노 세 장과 수박스무지 한 잔 딸기 생크림 케이크와 워프를 주문했어요,아메리카노,['ICE 초코'],X,X
JP10QC242_JP0004_20210726.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '음/ 요즘 좋아하는 음료수는 아이스 아메리카노예요 여름에는 아이스 아메리카노 겨울에는 따뜻한 커피를 즐겨 먹습니다', 'SentenceSpeechLV': '중'}",요즘 좋아하는 요수는 아이스 아메리카노에요. 열매는 아이스 아메리카노. 겨울에는 따뜻한 커피을 줄겨먹습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
EX12RC045_EX0223_20210802.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스크림 아메리카노샬찬과 소박 스모지 한 잔 그리고 딸기 생크림 케익을 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
TH10QC242_TH0047_20210803.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '가장 좋아하는 음료수는 카페모카예요 여름과 겨울에 마실 수 있는 음료수예요', 'SentenceSpeechLV': '중'}",가장 좋아하는 음료수는 카페인 복카여 여름과 겨울에 맞힐 수 있는 음료수에요,가장 좋아하는 음료수는 카페인 복카여 여름과 겨울에 맞힐 수 있는 음료수에요,카페모카,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN12RC045_CN0320_20210915.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세장과 산달기 스무디 한잔 그리고 딸기 생크림 케이크를 주문했어요,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
CN30QA299_CN0010_20210831.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '친구와 같이 유자차 녹차를 마신다', 'SentenceSpeechLV': '중'}",친구와 가지 요자자 녹차를 마신다.,친구와 가지 요자자 녹차라떼 마신다.,유자차,['녹차라떼'],X,X
JP10QC270_JP0135_20210731.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '최근에 바다 혹은 산에 갔던 적이 있나요? 언제, 누구와 어디에 갔나요?', 'AnswerLabelText': '복숭아입니다 달고 부드럽고 식감이 좋고 그거를 먹으면 행복을 느낄 수 있기 때문입니다', 'SentenceSpeechLV': '중'}",복숭아입니다. 다르고 부불럽고 식감이 적고 그거를 먹으며 앱벅글 느끼일 수 있기 때문입니다.,복숭아 다르고 부불럽고 식감이 적고 그거를 먹으며 앱벅글 느끼일 수 있기 때문입니다.,복숭아,['복숭아 아이스티'],O,O
JP12RC045_JP0005_20210802.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차량 아메리카노 세 장과 수박 스문디 한 잔 그리고 딸기생 크림 케이크를 주문했습니다.,아메리카노,아메리카노,['아메리카노'],O,O
EX12RC045_EX0022_20210805.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스메카 노 3장과 소박이 스모티 한장, 길이고 딸기 생키림 개큐를 주문했어요.","ICE 우리는 ICE 아메리카노 3장과 소박이 스모티 한장, 길이고 딸기 생키림 개큐를 주문했어요.",아메리카노,['ICE 아메리카노'],O,O
VN12RC046_VN0108_20210730.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무듀은 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피른 절대로 안 마신데요.,스무듀은 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피른 절대로 안 마신데요.,라떼,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
JP12RC045_JP0049_20210801.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차가운 아메리카노 세장과 수박 스무디 한자 그리고 딸기 생크림이 개그를 주문했습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
VN12RC045_VN0150_20210801.wav,"우리는 흑당 라떼 세 잔과, 수박 스무디 한 잔이랑 청포도 주스 두 잔, 그리고 딸기 팥빙수를 주문했어요.","아이스 아메리카노 세장과 수박 스무디 한장, 딸기생크림 케이크와 화풀은 주문했어요.",ICE 아메리카노,라떼,['ICE 아메리카노'],X,O
CN30QA299_CN0227_20210808.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '저 한국에서 카페를 가 봤는데 음/ 친구랑 같이도 가고 혼자도 가고 거기서 항상은 아메리카노를 마셔요', 'SentenceSpeechLV': '중'}",저 한국에서 카페를 가봤는데 친구랑 같이 갖고 혼자 또 갖고 거기서 항상는 아메리카너를 마셔요.,저 한국에서 카페를 가봤는데 친구랑 같이 갖고 혼자 카라멜마끼아또 갖고 거기서 항상는 아메리카노 마셔요.,아메리카노,['카라멜마끼아또'],X,O
JP10QC242_JP0174_20210730.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '가장 좋아하는 음료수는 키위주스 그레이프프루트 주스 자몽주스 상큼한 것을 좋아합니다 아이스 아메리카노도 맛있습니다', 'SentenceSpeechLV': '상'}",가장 좋아하는 운영수는 기위조수 그레프후루즈조수 자몬조수 쌍커만 고스를 좋아합니다 아이사��리카노도 맛있습니다,가장 좋아하는 운영수는 기위조수 그레프후루즈조수 자몬조수 쌍커만 고스를 좋아합니다 아이사��리카노도 맛있습니다,아메리카노,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN12RC045_CN0274_20210826.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 산닥이 스무디 한 장 크리고 딸기 생크림 케이크를 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP12RC045_JP0068_20211105.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차가운 아메리카노 세 장과 수박 스무티드 한 장 그리고 딸기 생크림 케이크를 주문했습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
VN10QC271_VN0294_20210817.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '제가 가장 좋아하는 과일은 복숭아입니다 왜냐하면 맛있기 때문입니다', 'SentenceSpeechLV': '상'}",제가 가장 좋아하는 과일은 복숭아입니다. 왜냐하면 맛있기 때문입니다.,제가 가장 좋아하는 과일은 복숭아 왜냐하면 맛있기 때문입니다.,복숭아,['복숭아 아이스티'],O,O
EX12RC045_EX0511_20211010.wav,"우리는 아이스 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스크림 아메리카노 세 잔과 수박 스모지 한 잔 그리고 딸기생 그림 케이크를 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
TH30QA299_TH0233_20211030.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '네 한국에서 카페에 가 본 적이 있어요 친구와 같이 갔어요 어/ 제가 녹차라떼를 마셨어요', 'SentenceSpeechLV': '하'}",한국에서 카페 가본적이 있어요. 친구와 같이 갔어요. 제가 녹차 라떼을 마쳤어요.,한국에서 디카페인 가본적이 있어요. 친구와 같이 갔어요. 제가 녹차라떼 라떼을 마쳤어요.,"라떼, 녹차라떼","['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN12RC045_CN0201_20210727.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 산빡이 스무리 한 잔 그리고 딸기 생크림 케이크를 주문했어요.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
VN30QA299_VN0254_20210911.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?', 'AnswerLabelText': '한국에서 카페에 가 본 적이 있습니다 그때 친구와 같이 가서 어/ 아스+ 아이스 아메리카노를 주문해서 마셨습니다', 'SentenceSpeechLV': '중'}",한국에서 카페 가본적이 있습니다. 그때 친구와 같이 가서 아이스 아메리카노을 주문해서 마셨습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
TH12RC045_TH0263_20211105.wav,"우리는 아이스 아메리카노 세 잔과, 사과 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아메리카노 세 장과 서바스무드 한 잔 그리고 딸기생 그림 케이크를 주문했어요,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
CN10QC242_CN0231_20210801.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '좋아하는 음료수는 딱히 없는데 그냥 그렇게 달지 않고 어/ 시원하면 다 좋아요 요즘은 뭐/ 아메리카노에 푹 빠졌어요', 'SentenceSpeechLV': '상'}",좋아하는 뉴스를 딱히 없는데 그냥 그렇게 달지 않고 시원하면 다 좋아해요. 요즘은 뭐 아메리카로에 푹 빠졌어요.,좋아하는 뉴스를 딱히 없는데 그냥 그렇게 달지 않고 시원하면 마카다미아 좋아해요. 요즘은 뭐 아메리카노 푹 빠졌어요.,아메리카노,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN12RC045_CN0362_20211006.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.",우리는 아이스 아마이리 컬러 세정과 산타기 스무디 한장 그리고 딸기 생크림 케이크를 준비했어요.,ICE 우리는 ICE 아마이리 컬러 세정과 산타기 스무디 한장 그리고 딸기 생크림 케이크를 준비했어요.,아메리카노,['ICE 카라멜마끼아또'],X,O
VN12RC046_VN0032_20210807.wav,"스무디를 시킨 친구는, 예전에 우유를 마시고 배가 아파 병원에 간 적이 있어서, 그 뒤로 우유가 든 라떼를 안 마신대요.",스무티를 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 절대로 안 마신데요.,스무티를 시킨 친구는 예전에 커피를 마시고 배가 아파 병원에 간 경험이 있어서 그 뒤로 커피를 절대로 안 마신데요.,라떼,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
CN10QC271_CN0260_20210801.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '어릴 때부터 어머님께서는 복숭아는 장수의 과일이라고 말씀해 주셨습니다 그 이유 때문인지는 몰라도 저는 복숭아를 참 좋아합니다 복숭아에는 여러 가지 영양소들이 많이 함유되어 있다고 합니다', 'SentenceSpeechLV': '상'}",어릴 때부터 어머님께서는 복숭아는 장수의 과일이라고 말씀해 주셨습니다. 그 이유 때문인지는 몰라도 저는 복숭아를 참 좋아합니다. 복숭아에는 여러 가지 영양소들이 많이 함유되어있다고 합니다.,어릴 때부터 어머님께서는 복숭아 장수의 과일이라고 말씀해 주셨습니다. 그 이유 때문인지는 몰라도 저는 복숭아 참 좋아합니다. 복숭아 여러 가지 영양소들이 많이 함유되어있다고 합니다.,복숭아,['복숭아 아이스티'],O,O
CN12RC045_CN0437_20211015.wav,"우리는 아이스 아메리카노 세 잔과, 산딸기 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했어요.","우리는 아이스 아메리카노, 세 장과 산다기, 스모티 한 장, 그리고 딸기 생크림 케이크를 주문했어요.",ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
